,university,country,ror_id,country_code,latitude,longitude,main_field,period,num_pubs,num_pubs_oa,num_pubs_gold_oa,num_pubs_hybrid_oa,num_pubs_bronze_oa,num_pubs_green_oa,prop_pubs_oa,prop_pubs_gold_oa,prop_pubs_hybrid_oa,prop_pubs_bronze_oa,prop_pubs_green_oa,num_pubs_top_1,num_pubs_top_10,prop_pubs_top_1,prop_pubs_top_10,ISO-3,geometry,English Institution Name,Foundation year,Total third party funding (EURO),Total academic personnel (HC),Total students enrolled ISCED 5-7,ETER_year,ranking,English Institution Namethe,location,overall score,teaching score,research score,citations score,industry income score,intl outlook score
271,University of Cádiz,Spain,04mxxkb11,ES,36.537613,-6.300492,All sciences,2018-2021,3660.0,2064.0,1222.0,238.0,141.0,463.0,0.563934426229508,0.333879781420765,0.0650273224043716,0.0385245901639344,0.126502732240437,38.9641666666662,329.607527159884,0.0106459471766847,0.0900567014098043,ESP,POINT (36.537613 -6.300492),University of Cádiz,1979,,1875.0,20902.0,2021,1075.0,University of Cadiz,Spain,23.3,17.2,15.3,32.5,35.1,38.6
232,Adam Mickiewicz University in Poznań,Poland,04g6bbq64,PL,52.408391,16.915381,All sciences,2018-2021,5069.0,3107.0,1464.0,878.0,222.0,543.0,0.612941408561847,0.288814361807063,0.173209706056421,0.0437956204379562,0.107121720260406,52.1772549019601,489.667188841038,0.0102934020323457,0.0966003528982123,POL,POINT (52.408391 16.915381),Adam Mickiewicz University in Poznań,1919,24575221.23893805,2963.0,31146.0,2021,1005.0,"Adam Mickiewicz University, Poznań",Poland,23.3,19.9,14.5,31.8,34.4,34.3
396,Universidad de Almería,Spain,003d3xx08,ES,36.828979,-2.406414,All sciences,2018-2021,3058.0,1905.0,1352.0,163.0,75.0,315.0,0.622956180510137,0.44211903204709,0.053302812295618,0.0245258338783519,0.103008502289078,28.6883333333333,334.845456203835,0.0093814039677349,0.109498187117016,ESP,POINT (36.828979 -2.406414),University of Almeria,1993,,1015.0,12853.0,2021,1018.0,University of Almería,Spain,23.2,18.9,14.3,30.5,35.1,43.3
335,Atatürk University,Turkey,03je5c526,TR,39.901454,41.248369,All sciences,2018-2021,3589.0,1084.0,756.0,55.0,141.0,132.0,0.302033992755642,0.210643633324046,0.0153246029534689,0.0392867093898022,0.0367790470883254,15.5366666666676,269.880400988861,0.0043289681434014,0.0751965452741325,TUR,POINT (39.901454 41.248369),Atatürk University,1957,,2784.0,546862.0,2021,1034.0,Atatürk University,Turkey,23.0,18.5,15.4,35.2,35.1,18.1
221,Gdańsk University of Technology,Poland,006x4sc24,PL,54.371681,18.616253,All sciences,2018-2021,4241.0,2591.0,1742.0,536.0,87.0,226.0,0.610940815845319,0.410752181089366,0.126385286489036,0.0205140297099741,0.0532893185569441,51.7433333333335,421.131396362495,0.0122007388194609,0.0993000227216446,POL,POINT (54.371681 18.616253),Gdańsk University of Technology,1904,10975510.382896695,1412.0,14183.0,2021,1166.0,Gdańsk University of Technology,Poland,22.4,17.7,12.8,34.7,38.6,25.5
264,University of Alicante,Spain,05t8bcz72,ES,38.382992,-0.514216,All sciences,2018-2021,4747.0,3743.0,1623.0,325.0,231.0,1564.0,0.788497998736044,0.341900147461555,0.0684642932378344,0.0486623130398146,0.32947124499684,53.7900000000013,463.924634008079,0.0113313671792714,0.0977300682553357,ESP,POINT (38.382992 -0.514216),University of Alicante,1979,,2421.0,23709.0,2021,1017.0,University of Alicante,Spain,22.2,18.4,15.9,26.9,36.1,38.5
341,Yildiz Technical University,Turkey,0547yzj13,TR,41.052102,29.010333,All sciences,2018-2021,3387.0,887.0,592.0,56.0,104.0,135.0,0.261883672866844,0.174785946265131,0.0165338057277827,0.0307056392087393,0.0398582816651904,23.5673333333332,305.965207870025,0.00695817340812908,0.0903351661854221,TUR,POINT (41.052102 29.010333),Yıldız Technical University,1911,,1677.0,34909.0,2021,1520.0,Yıldız Technical University,Turkey,22.2,18.0,24.9,21.1,52.8,22.2
29,Czech University of Life Sciences Prague,Czech Republic,0415vcw02,CZ,50.130008,14.373576,All sciences,2018-2021,3168.0,1849.0,1257.0,239.0,125.0,228.0,0.58364898989899,0.396780303030303,0.0754419191919192,0.0394570707070707,0.071969696969697,60.4700000000024,433.986175217648,0.0190877525252533,0.136990585611631,CZE,POINT (50.130008 14.373576),"Czech University of Life Sciences, Prague",1952,,1126.0,20272.0,2021,1107.0,Czech University of Life Sciences Prague (CULS),Czech Republic,21.7,17.2,13.8,22.0,51.6,59.8
28,"University of Chemistry and Technology, Prague",Czech Republic,05ggn0a85,CZ,50.103452,14.389622,All sciences,2018-2021,2850.0,1160.0,722.0,167.0,87.0,184.0,0.407017543859649,0.253333333333333,0.0585964912280702,0.0305263157894737,0.0645614035087719,24.3000000000002,247.563273420385,0.00852631578947375,0.0868643064632928,CZE,POINT (50.103452 14.389622),"University of Chemistry and Technology, Prague",1952,,1142.0,2974.0,2021,1089.0,"University of Chemistry and Technology, Prague",Czech Republic,21.7,25.2,13.7,17.4,39.4,50.6
19,University of Zagreb,Croatia,00mv6sv71,HR,45.810533,15.969619,All sciences,2018-2021,9201.0,5629.0,3475.0,578.0,520.0,1056.0,0.611781328116509,0.377676339528312,0.06281925877622,0.0565155961308553,0.114770133681122,122.502500000005,955.864872723786,0.0133140419519623,0.10388706365871,HRV,POINT (45.810533 15.969619),University of Zagreb,1874,,7002.0,62458.0,2021,1525.0,University of Zagreb,Croatia,21.5,19.5,13.2,27.2,40.3,34.3
302,University of Valladolid,Spain,01fvbaw18,ES,41.656959,-4.714462,All sciences,2018-2021,4154.0,2828.0,1316.0,298.0,198.0,1016.0,0.680789600385171,0.316803081367357,0.071738083774675,0.0476649012999519,0.244583533943187,32.6497619047595,378.261809605558,0.00785983676089541,0.0910596556585359,ESP,POINT (41.656959 -4.714462),University of Valladolid,1346,,2569.0,20069.0,2021,1493.0,University of Valladolid,Spain,21.3,22.1,12.4,23.7,37.8,39.2
